Rank Only,Rank Change,Name,Assoc,Points
1,,Yukiya UDA,JPN,3170
2,↑1,Shunsuke TOGAMI,JPN,2960
3,↓1,WANG Chuqin,CHN,2840
4,,Kristian KARLSSON,SWE,2639
5,,Mattias FALCK,SWE,2639
6,,FAN Zhendong,CHN,2350
7,,Benedikt DUDA,GER,2160
8,,LIM Jonghoon,KOR,2105
9,,JANG Woojin,KOR,2100
10,,Dang QIU,GER,2060
11,,CHUANG Chih-Yuan,TPE,1540
12,,LIN Gaoyuan,CHN,1530
13,,CHEN Chien-An,TPE,1275
14,,LIANG Jingkun,CHN,1190
15,,AN Jaehyun,KOR,1034
16,,LEE Sangsu,KOR,1005
17,,Alvaro ROBLES,ESP,990
18,,Ovidiu IONESCU,ROU,990
19,,Nandor ECSEKI,HUN,943
20,,Adam SZUDI,HUN,943
21,,Horacio CIFUENTES,ARG,919
22,,Kilian ORT,GER,894
23,,ZHOU Qihao,CHN,830
24,,Cedric NUYTINCK,BEL,805
25,↑5,Harmeet DESAI,IND,791
26,↓1,Gaston ALTO,ARG,790
27,↓1,CHO Daeseong,KOR,789
28,↓1,Sathiyan GNANASEKARAN,IND,773
29,↓1,Liam PITCHFORD,ENG,770
30,↓1,Paul DRINKHALL,ENG,770
31,,Maksim GREBNEV,RUS,719
32,,Daniel HABESOHN,AUT,648
33,,Robert GARDOS,AUT,648
34,,CHO Seungmin,KOR,645
35,↑2,Tobias HIPPLER,GER,644
36,↓1,HO Kwan Kit,HKG,630
37,↓1,WONG Chun Ting,HKG,630
38,↑9,Yuta TANAKA,JPN,610
39,↓1,JEOUNG Youngsik,KOR,600
40,↓1,Jakub DYJAS,POL,597
41,↓1,Bode ABIODUN,NGR,590
42,↓1,Yuto KIZUKURI,JPN,555
43,↑6,Manav Vikash THAKKAR,IND,555
44,↓2,Lev KATSMAN,RUS,529
45,↓2,Truls MOREGARD,SWE,529
46,↓2,Nima ALAMIAN,IRI,529
47,↓2,Noshad ALAMIYAN,IRI,529
48,↓2,LIAO Cheng-Ting,TPE,515
49,↓1,Vladimir SIDORENKO,RUS,505
50,,CHEW Zhe Yu Clarence,SGP,503
51,,Quadri ARUNA,NGR,500
52,,Anton KALLBERG,SWE,474
53,,Emmanuel LEBESSON,FRA,470
54,,Alexandre CASSIN,FRA,470
55,,Tomas POLANSKY,CZE,451
56,,Felix LEBRUN,FRA,449
57,,Martin ALLEGRO,BEL,449
58,,Florent LAMBIET,BEL,447
59,,Sharath Kamal ACHANTA,IND,447
60,,Tiago APOLONIA,POR,444
61,,Joao MONTEIRO,POR,444
62,,LIN Yun-Ju,TPE,430
63,,Kirill SKACHKOV,RUS,425
64,,XIANG Peng,CHN,417
65,,LIN Shidong,CHN,415
66,↑6,Daniel GONZALEZ,PUR,385
67,↑6,Brian AFANADOR,PUR,385
68,↓2,Khalid ASSAR,EGY,374
69,↓2,Ahmed SALEH,EGY,370
70,↓2,HUANG Yan-Cheng,TPE,370
71,↓2,Juan LAMADRID,CHI,360
72,↓2,Gustavo GOMEZ,CHI,360
73,↓2,Darko JORGIC,SLO,359
74,,POH Shao Feng Ethan,SGP,350
75,,Ricardo WALTHER,GER,340
76,,Niagol STOYANOV,ITA,340
77,,Mihai BOBOCICA,ITA,340
78,↑2,Mizuki OIKAWA,JPN,325
79,↓1,Alexis LEBRUN,FRA,314
80,↓1,PENG Wang-Wei,TPE,303
81,,FENG Yi-Hsin,TPE,295
82,↑27,Hiroto SHINOZUKA,JPN,277
83,↓1,Aleksandr KHANIN,BLR,261
84,↓1,Samuel WALKER,ENG,259
85,↑8,Leo DE NODREST,FRA,244
86,↓2,Darius MOVILEANU,ROU,234
87,↓2,Vitor ISHIY,BRA,227
88,↑22,Vincent PICARD,FRA,226
89,↓3,Eric JOUTI,BRA,218
90,↓3,LAM Siu Hang,HKG,214
91,↓3,NG Pak Nam,HKG,214
92,↓3,Bojan TOKIC,SLO,210
93,↓3,Adrien RASSENFOSSE,BEL,209
94,↓3,Eduard IONESCU,ROU,204
95,↓3,Olav KOSOLOSKY,BEL,190
96,↑18,Manush Utpalbhai SHAH,IND,189
97,↓3,Ivor BAN,CRO,185
98,↓3,Csaba ANDRAS,HUN,184
99,↓3,Olajide OMOTAYO,NGR,182
100,↓3,Kai ZHANG,USA,182
101,↓3,Nikhil KUMAR,USA,180
102,↓3,Snehit SURAVAJJULA,IND,178
103,↓3,Masataka MORIZONO,JPN,175
104,↓3,Tomokazu HARIMOTO,JPN,175
105,↓3,Sami KHEROUF,ALG,175
106,↓3,Azeez SOLANKE,NGR,175
107,↓3,Samuel BOBOYE,NGR,175
108,↓3,Mohamed Sofiene BOUDJADJA,ALG,175
109,↓3,Bence MAJOROS,HUN,175
110,↓3,XU Yingbin,CHN,174
111,↓3,CAO Wei,CHN,174
112,↓1,Alberto MINO,ECU,170
113,↓1,Sanil SHETTY,IND,167
114,↓1,Robin DEVOS,BEL,160
115,,Tamas LAKATOS,HUN,159
116,,Yuma TANIGAKI,JPN,157
117,,Jiri MARTINKO,CZE,156
118,,Laurens DEVOS,BEL,155
119,,Ali ALKHADRAWI,KSA,154
120,,Abdulaziz BU SHULAYBI,KSA,154
121,↑1,Esteban DORR,FRA,153
122,↓1,Bastien REMBERT,FRA,152
123,,Kazuhiro YOSHIMURA,JPN,150
124,,Kirill GERASSIMENKO,KAZ,149
125,,Alan KURMANGALIYEV,KAZ,147
126,,Lilian BARDET,FRA,140
127,,Louis LAFFINEUR,BEL,140
128,,Benedek OLAH,FIN,139
129,,Alexander CHEN,AUT,137
130,↑9,Jo YOKOTANI,JPN,130
131,↓1,Pavel SIRUCEK,CZE,130
132,↓1,Emiliano RIOFRIO,ECU,125
133,↓1,Pavel PLATONOV,BLR,124
134,↓1,BEH Kun Ting,SGP,121
135,↓1,Taiwo MATI,NGR,115
136,↓1,Ibrahima DIAW,SEN,110
137,↓1,Dimitrij OVTCHAROV,GER,105
138,↓1,Diogo CHEN,POR,105
139,↓1,Florian BOURRASSAUD,FRA,105
140,,Juan Jesus GOMEZ,MEX,100
141,,Dario ARCE,MEX,100
142,,Alexandre ROBINOT,FRA,100
143,,David SZANTOSI,HUN,95
144,,Erik HUZSVAR,HUN,95
145,,Patrick FRANZISKA,GER,95
146,,Deni KOZUL,SLO,94
147,↑11,Tom JARVIS,ENG,93
148,↓1,Aboubaker BOURASS,TUN,92
149,↓1,Marcelo AGUIRRE,PAR,90
150,↓1,Alejandro TORANZOS,PAR,90
151,↓1,Larbi BOURIAH,ALG,90
152,↓1,Tomislav PUCAR,CRO,90
153,↓1,Edward LY,CAN,90
154,↓1,Abdelbasset CHAICHI,ALG,90
155,↓1,Hamidou SOW,SEN,90
156,↓1,Matteo MARTIN,CAN,90
157,↓1,Timo BOLL,GER,90
158,↓1,Youssef BEN ATTIA,TUN,90
159,,Patrik JUHASZ,HUN,89
160,,Lubomir PISTEJ,SVK,89
161,,Maciej KUBIK,POL,89
162,,Uladzislau RUKLIATSOU,BLR,87
163,,Anders LIND,DEN,85
164,,Takuya JIN,JPN,85
165,,Aleksandar KARAKASEVIC,SRB,85
166,,Aidos KENZHIGULOV,KAZ,84
167,,David SERDAROGLU,AUT,84
168,,Nicholas LUM,AUS,81
169,,Alexis KOURAICHI,FRA,80
170,,Finn LUU,AUS,79
171,,Jeet CHANDRA,IND,77
