Rank Only,Rank Change,Name,Assoc,Points
1,,WANG Manyu,CHN,4000
2,,SUN Yingsha,CHN,4000
3,,Hina HAYATA,JPN,3150
4,,Mima ITO,JPN,2800
5,,JEON Jihee,KOR,2240
6,,Miyu NAGASAKI,JPN,1805
7,,Sarah DE NUTTE,LUX,1595
8,↑1,Archana Girish KAMATH,IND,1505
9,↓1,Xia Lian NI,LUX,1490
10,,Miyuu KIHARA,JPN,1405
11,,Manika BATRA,IND,1399
12,,Nina MITTELHAM,GER,1369
13,,Sabine WINTER,GER,1283
14,,SHIN Yubin,KOR,1190
15,,Miu HIRANO,JPN,1170
16,,Kasumi ISHIKAWA,JPN,1170
17,,CHEN Szu-Yu,TPE,1120
18,,YANG Haeun,KOR,1050
19,,QIAN Tianyi,CHN,972
20,,DOO Hoi Kem,HKG,914
21,,LEE Ho Ching,HKG,910
22,,Melanie DIAZ,PUR,899
23,,Adriana DIAZ,PUR,899
24,,Xiaona SHAN,GER,889
25,,Bernadette SZOCS,ROU,875
26,,Barbora BALAZOVA,SVK,830
27,,Sofia POLCANOVA,AUT,790
28,,Christina KALLBERG,SWE,790
29,,Petrissa SOLJA,GER,780
30,,Linda BERGSTROM,SWE,780
31,,Minami ANDO,JPN,775
32,,Dora MADARASZ,HUN,764
33,,CHOI Hyojoo,KOR,759
34,,LEE Zion,KOR,759
35,↑5,LI Yu-Jhun,TPE,755
36,↓1,CHENG Hsien-Tzu,TPE,745
37,↓1,LIU Weishan,CHN,737
38,↓1,Hana MATELOVA,CZE,730
39,↓1,CHEN Meng,CHN,700
40,↓1,LIN Ye,SGP,698
41,,Olga VOROBEVA,RUS,639
42,,Yana NOSKOVA,RUS,638
43,,WANG Yidi,CHN,570
44,↑4,Yousra HELMY,EGY,550
45,↓1,ZENG Jian,SGP,538
46,↓1,WONG Xin Ru,SGP,538
47,↓1,ZHANG Rui,CHN,528
48,↑7,CHENG I-Ching,TPE,525
49,↓2,HUANG Yi-Hua,TPE,524
50,↓1,Farah ABDEL-AZIZ,EGY,510
51,↓1,GOI Rui Xuan,SGP,493
52,↓1,KUAI Man,CHN,490
53,↑4,Daria TRIGOLOS,BLR,459
54,↑5,Karoline MISCHEK,AUT,454
55,↓3,Szandra PERGEL,HUN,450
56,↓3,Georgina POTA,HUN,449
57,↓3,Andreea DRAGOMAN,ROU,448
58,↓2,Elizabeta SAMARA,ROU,413
59,↑3,Ayhika MUKHERJEE,IND,410
60,↓2,Paulina VEGA,CHI,399
61,↓1,Sutirtha MUKHERJEE,IND,390
62,↓1,Rachel MORET,SUI,380
63,,LIU Hsing-Yin,TPE,379
64,,Daniela ORTEGA,CHI,360
65,,Tatiana KUKULKOVA,SVK,356
66,,Offiong EDEM,NGR,350
67,,Cecilia AKPAN,NGR,350
68,,Ema LABOSOVA,SVK,346
69,,Jia Nan YUAN,FRA,339
70,,Pauline CHASSELIN,FRA,333
71,,Katarina STRAZAR,SLO,324
72,,Elizabet ABRAAMIAN,RUS,321
73,,ZHU Chengzhu,HKG,294
74,,Filippa BERGAND,SWE,288
75,↑11,Sreeja AKULA,IND,286
76,↓1,Natalia MALININA,RUS,277
77,↑42,Hana ARAPOVIC,CRO,275
78,↓2,Debora VIVARELLI,ITA,265
79,↓2,Giorgia PICCOLIN,ITA,265
80,↓2,Chantal MANTZ,GER,263
81,↓2,Yuan WAN,GER,263
82,↓2,Zdena BLASKOVA,CZE,259
83,↓2,Orawan PARANANG,THA,250
84,↓2,Suthasini SAWETTABUT,THA,250
85,↓2,Prithika PAVADE,FRA,249
86,↓2,Stephanie LOEUILLETTE,FRA,245
87,↓2,Tin-Tin HO,ENG,240
88,↓1,Yangzi LIU,AUS,222
89,↓1,Satsuki ODO,JPN,214
90,↓1,Sakura YOKOI,JPN,214
91,↓1,Mariam ALHODABY,EGY,194
92,↓1,Marwa ALHODABY,EGY,194
93,↓1,Audrey ZARIF,FRA,194
94,↓1,Selena SELVAKUMAR,IND,188
95,↓1,Minhyung JEE ,AUS,187
96,↓1,NG Wing Nam,HKG,185
97,↓1,Jieni SHAO,POR,185
98,↓1,Ganna GAPONOVA,UKR,180
99,↓1,Tetyana BILENKO,UKR,180
100,↓1,Camila ARGUELLES,ARG,180
101,↓1,Ana CODINA,ARG,180
102,↑2,Tiffany KE,USA,177
103,↓2,Olufunke OSHONAIKE,NGR,175
104,↓2,Fatimo BELLO,NGR,175
105,↓2,Sarah JALLI,USA,175
106,↓1,Hidalynn ZAPATA,GUA,175
107,↓1,Lucia CORDERO,GUA,175
108,↓1,Fu YU,POR,175
109,↑5,Rachel SUNG,USA,175
110,↓2,Katerina TOMANOVSKA,CZE,174
111,↑10,Leili MOSTAFAVI,FRA,174
112,↓3,Lucie GAUTHIER,FRA,170
113,↓3,Lea PAULIN,SLO,165
114,↓3,Ana TOFANT,SLO,159
115,↓3,QI Fei,CHN,158
116,↓3,CHEN Xingtong,CHN,155
117,,Asuka SASAO,JPN,150
118,,Sakura MORI,JPN,150
119,↓1,Polina TRIFONOVA,BUL,150
120,↓5,Valeria SHCHERBATYKH,RUS,139
121,↓5,Clio BARCENAS,MEX,135
122,↓5,Arantxa COSSIO ACEVES,MEX,135
123,↑115,Ivana MALOBABIC,CRO,134
124,↓6,Linda ZADEROVA,CZE,126
125,↑21,Joanna SUNG,USA,120
126,↑161,Mateja JEGER,CRO,120
127,↓7,Valeria KOTCYUR,RUS,119
128,↓6,Katarzyna WEGRZYN,POL,115
129,↓6,Anna WEGRZYN,POL,115
130,↓6,Ines MATOS,POR,112
131,↓6,Caroline KUMAHARA,BRA,110
132,↓6,Tijana JOKIC,SRB,109
133,↓6,Marie MIGOT,FRA,107
134,↓6,Elena ZAHARIA,ROU,106
135,↓6,SOO Wai Yam Minnie,HKG,105
136,↓6,Mariia TAILAKOVA,RUS,105
137,↓6,Britt EERLAND,NED,104
138,↓6,Dasa SINKAROVA,SVK,104
139,↓6,Nikoleta PUCHOVANOVA,SVK,104
140,↓6,Fadwa GARCI,TUN,100
141,↓6,Saki SHIBATA,JPN,95
142,↓6,Hitomi SATO,JPN,95
143,↓6,Mo ZHANG,CAN,95
144,↓6,Denise PAYET,ENG,95
145,↓6,Mercedes NAGYVARADI,HUN,93
146,↓6,Bernadett BALINT,HUN,93
147,↓6,Ozge YILMAZ,TUR,93
148,↓6,Ioana SINGEORZAN,ROU,92
149,↓6,Jessica YAMADA,BRA,90
150,↓6,Oumehani HOSENALLY,MRI,90
151,↓6,Nandeshwaree JALIM,MRI,90
152,↓5,Abir HAJ SALAH,TUN,90
153,↓5,Hiba FEREDJ,ALG,90
154,↓5,Widad NOUARI,ALG,90
155,↓5,Ching Nam FU,CAN,90
156,↓5,Juliana LOZADA,COL,90
157,↓5,Manuela ECHEVERRY,COL,90
158,↓5,Ivy LIAO,CAN,90
159,↓5,Nathalie MARCHETTI,BEL,90
160,↓5,Lynda LOGHRAIBI,ALG,90
161,↓5,Katia KESSACI,ALG,90
162,↓5,Margo DEGRAEF,BEL,90
163,↓5,Vlada VORONINA,RUS,90
164,↓5,Dragana VIGNJEVIC,SRB,85
165,↓5,Andrea PAVLOVIC,CRO,85
166,↓5,Charlotte LUTZ,FRA,83
167,↓5,Rebecca MUSKANTOR,SWE,83
