Rank Only,Rank Change,Name,Assoc,Points
1,,Yukiya UDA / Shunsuke TOGAMI,JPN,2960
2,,Kristian KARLSSON / Mattias FALCK,SWE,2639
3,,FAN Zhendong / WANG Chuqin,CHN,2350
4,,JANG Woojin / LIM Jonghoon,KOR,2100
5,,Dang QIU / Benedikt DUDA,GER,2055
6,,CHEN Chien-An / CHUANG Chih-Yuan,TPE,1230
7,,Ovidiu IONESCU / Alvaro ROBLES,ROU / ESP,990
8,,Nandor ECSEKI / Adam SZUDI,HUN,943
9,,LIN Gaoyuan / ZHOU Qihao,CHN,830
10,,Gaston ALTO / Horacio CIFUENTES,ARG,790
11,,Paul DRINKHALL / Liam PITCHFORD,ENG,770
12,,LIN Gaoyuan / LIANG Jingkun,CHN,700
13,,Robert GARDOS / Daniel HABESOHN,AUT,648
14,,CHO Seungmin / AN Jaehyun,KOR,645
15,,WONG Chun Ting / HO Kwan Kit,HKG,630
16,,Kilian ORT / Tobias HIPPLER,GER,614
17,,JEOUNG Youngsik / LEE Sangsu,KOR,600
18,,Cedric NUYTINCK / Jakub DYJAS,BEL / POL,595
19,,Lev KATSMAN / Maksim GREBNEV,RUS,529
20,,Noshad ALAMIYAN / Nima ALAMIAN,IRI,529
21,,Bode ABIODUN / Quadri ARUNA,NGR,500
22,,LIANG Jingkun / WANG Chuqin,CHN,490
23,,Emmanuel LEBESSON / Alexandre CASSIN,FRA,465
24,,Tiago APOLONIA / Joao MONTEIRO,POR,444
25,,LIAO Cheng-Ting / LIN Yun-Ju,TPE,430
26,,Anton KALLBERG / Truls MOREGARD,SWE,429
27,,XIANG Peng / LIN Shidong,CHN,415
28,,Yuto KIZUKURI / Yuta TANAKA,JPN,405
29,,Sathiyan GNANASEKARAN / Harmeet DESAI,IND,404
30,,LEE Sangsu / CHO Daeseong,KOR,400
31,,AN Jaehyun / CHO Daeseong,KOR,389
32,↑5,Daniel GONZALEZ / Brian AFANADOR,PUR,385
33,↑7,Harmeet DESAI / Manav Vikash THAKKAR,IND,377
34,↓2,Florent LAMBIET / Martin ALLEGRO,BEL,377
35,↓2,Kirill SKACHKOV / Vladimir SIDORENKO,RUS,370
36,↓2,Ahmed SALEH / Khalid ASSAR,EGY,370
37,↓2,Sathiyan GNANASEKARAN / Sharath Kamal ACHANTA,IND,364
38,↓2,Gustavo GOMEZ / Juan LAMADRID,CHI,360
39,↓1,CHEW Zhe Yu Clarence / POH Shao Feng Ethan,SGP,350
40,↓1,Mihai BOBOCICA / Niagol STOYANOV,ITA,340
41,,CHUANG Chih-Yuan / PENG Wang-Wei,TPE,302
42,,Alexis LEBRUN / Felix LEBRUN,FRA,299
43,,Ricardo WALTHER / Kilian ORT,GER,280
44,,FENG Yi-Hsin / HUANG Yan-Cheng,TPE,240
45,,Eric JOUTI / Vitor ISHIY,BRA,218
46,,LAM Siu Hang / NG Pak Nam,HKG,214
47,,Cedric NUYTINCK / Bojan TOKIC,BEL / SLO,210
48,,Mizuki OIKAWA / Yukiya UDA,JPN,210
49,,Darius MOVILEANU / Eduard IONESCU,ROU,204
50,,Nikhil KUMAR / Kai ZHANG,USA,180
51,,Masataka MORIZONO / Tomokazu HARIMOTO,JPN,175
52,,Azeez SOLANKE / Samuel BOBOYE,NGR,175
53,,Mohamed Sofiene BOUDJADJA / Sami KHEROUF,ALG,175
54,,Tomas POLANSKY / Darko JORGIC,CZE / SLO,175
55,,XU Yingbin / CAO Wei,CHN,174
56,,Hiroto SHINOZUKA / Yuma TANIGAKI,JPN,157
57,,Laurens DEVOS / Olav KOSOLOSKY,BEL,155
58,,Ali ALKHADRAWI / Abdulaziz BU SHULAYBI,KSA,154
59,,Esteban DORR / Felix LEBRUN,FRA,150
60,,Yuto KIZUKURI / Kazuhiro YOSHIMURA,JPN,150
61,,Vincent PICARD / Bastien REMBERT,FRA,150
62,,Tomas POLANSKY / Jiri MARTINKO,CZE,146
63,,Kirill GERASSIMENKO / Alan KURMANGALIYEV,KAZ,145
64,,Lilian BARDET / Leo DE NODREST,FRA,140
65,,Maksim GREBNEV / Vladimir SIDORENKO,RUS,135
66,,Ivor BAN / Csaba ANDRAS,CRO / HUN,135
67,,Pavel SIRUCEK / Tomas POLANSKY,CZE,130
68,,Tamas LAKATOS / Horacio CIFUENTES,HUN / ARG,129
69,,CHEW Zhe Yu Clarence / BEH Kun Ting,SGP,109
70,,Dimitrij OVTCHAROV / Benedikt DUDA,GER,105
71,,Diogo CHEN / Florian BOURRASSAUD,POR / FRA,105
72,,Yuta TANAKA / Hiroto SHINOZUKA,JPN,105
73,↓1,Pavel PLATONOV / Aleksandr KHANIN,BLR,104
74,↓1,Adrien RASSENFOSSE / Louis LAFFINEUR,BEL,102
75,↓1,Samuel WALKER / Truls MOREGARD,ENG / SWE,100
76,↓1,Yuta TANAKA / Jo YOKOTANI,JPN,100
77,↓1,Dario ARCE / Juan Jesus GOMEZ,MEX,100
78,↓1,Erik HUZSVAR / David SZANTOSI,HUN,95
79,↓1,Deni KOZUL / Darko JORGIC,SLO,94
80,↓1,Benedek OLAH / Robin DEVOS,FIN / BEL,90
81,↓1,Alberto MINO / Emiliano RIOFRIO,ECU,90
82,↓1,Bode ABIODUN / Olajide OMOTAYO,NGR,90
83,↓1,Marcelo AGUIRRE / Alejandro TORANZOS,PAR,90
84,↓1,Olajide OMOTAYO / Taiwo MATI,NGR,90
85,↓1,Ibrahima DIAW / Hamidou SOW,SEN,90
86,↓1,Aboubaker BOURASS / Youssef BEN ATTIA,TUN,90
