Rank Only,Rank Change,Name,Assoc,Points
1,,WANG Chuqin,CHN,5200
2,,CHENG I-Ching,TPE,4760
3,,LIN Yun-Ju,TPE,4620
4,,SUN Yingsha,CHN,4000
5,,Emmanuel LEBESSON,FRA,3325
6,,Jia Nan YUAN,FRA,3325
7,,Hina HAYATA,JPN,2850
8,,Mima ITO,JPN,2210
9,↓1,DOO Hoi Kem,HKG,1755
10,↓1,WONG Chun Ting,HKG,1755
11,↓1,Tomokazu HARIMOTO,JPN,1750
12,↓1,JEON Jihee,KOR,1700
13,↓1,Sathiyan GNANASEKARAN,IND,1629
14,↓1,Manika BATRA,IND,1627
15,↓1,XU Xin,CHN,1400
16,↓1,LIU Shiwen,CHN,1400
17,↓1,Bernadette SZOCS,ROU,1279
18,↓1,Ovidiu IONESCU,ROU,1275
19,↓1,Nina MITTELHAM,GER,1200
20,↓1,HO Kwan Kit,HKG,1125
21,↓1,LEE Sangsu,KOR,1120
22,↓1,Shunsuke TOGAMI,JPN,1100
23,↓1,Dang QIU,GER,860
24,↓1,Barbora BALAZOVA,SVK,835
25,↓1,Lubomir PISTEJ,SVK,835
26,↓1,Bruna TAKAHASHI,BRA,830
27,↓1,Vitor ISHIY,BRA,830
28,↓1,WANG Yidi,CHN,800
29,↑4,Lily ZHANG,USA,800
30,↓2,Alvaro ROBLES,ESP,799
31,↓2,Maria XIAO,ESP,799
32,↓2,JANG Woojin,KOR,790
33,↓2,LEE Ho Ching,HKG,785
34,↓2,Aleksandr KHANIN,BLR,765
35,↓1,Archana Girish KAMATH,IND,745
36,↓1,Daria TRIGOLOS,BLR,705
37,↓1,LIN Gaoyuan,CHN,700
38,↓1,Prithika PAVADE,FRA,688
39,↓1,Petrissa SOLJA,GER,630
40,↓1,Patrick FRANZISKA,GER,630
41,↓1,Dina MESHREF,EGY,627
42,↓1,Omar ASSAR,EGY,627
43,↓1,Manav Vikash THAKKAR,IND,574
44,↓1,Nandor ECSEKI,HUN,542
45,↑10,CHEN Szu-Yu,TPE,520
46,↓2,Izabela LUPULESKU,SRB,519
47,↓2,Yousra HELMY,EGY,476
48,↓2,Simon GAUZY,FRA,468
49,↓2,Olga VOROBEVA,RUS,460
50,↓2,Kirill SKACHKOV,RUS,460
51,↓2,Khalid ASSAR,EGY,444
52,↓2,Dora MADARASZ,HUN,402
53,↓2,CHEN Xingtong,CHN,400
54,↓2,LIU Weishan,CHN,385
55,↓2,Horacio CIFUENTES,ARG,383
56,↓2,Camila ARGUELLES,ARG,383
57,↓1,LIANG Jingkun,CHN,350
58,↓1,Dimitrije LEVAJAC,SRB,338
59,↓1,CHEN Chien-An,TPE,280
60,↓1,PANG Yew En Koen,SGP,280
61,↓1,LIN Ye,SGP,280
62,↓1,Karoline MISCHEK,AUT,280
63,↓1,Robert GARDOS,AUT,274
64,↓1,Tatiana KUKULKOVA,SVK,260
65,↑8,Giorgia PICCOLIN,ITA,242
