Rank Only,Rank Change,Name,Assoc,Points
1,,CHENG I-Ching / LIN Yun-Ju,TPE,4620
2,,WANG Chuqin / SUN Yingsha,CHN,4000
3,,Emmanuel LEBESSON / Jia Nan YUAN,FRA,3325
4,,WONG Chun Ting / DOO Hoi Kem,HKG,1755
5,,Hina HAYATA / Tomokazu HARIMOTO,JPN,1750
6,,Sathiyan GNANASEKARAN / Manika BATRA,IND,1614
7,,LIU Shiwen / XU Xin,CHN,1400
8,,Ovidiu IONESCU / Bernadette SZOCS,ROU,1275
9,,Hina HAYATA / Shunsuke TOGAMI,JPN,1100
10,,LEE Sangsu / JEON Jihee,KOR,910
11,,Dang QIU / Nina MITTELHAM,GER,850
12,,Barbora BALAZOVA / Lubomir PISTEJ,SVK,835
13,,Vitor ISHIY / Bruna TAKAHASHI,BRA,830
14,,WANG Chuqin / WANG Yidi,CHN,800
15,,Alvaro ROBLES / Maria XIAO,ESP,799
16,,JANG Woojin / JEON Jihee,KOR,790
17,,LEE Ho Ching / HO Kwan Kit,HKG,775
18,,Lily ZHANG / LIN Gaoyuan,USA / CHN,700
19,,Aleksandr KHANIN / Daria TRIGOLOS,BLR,700
20,,Patrick FRANZISKA / Petrissa SOLJA,GER,630
21,,Omar ASSAR / Dina MESHREF,EGY,627
22,,Manav Vikash THAKKAR / Archana Girish KAMATH,IND,574
23,,Simon GAUZY / Prithika PAVADE,FRA,468
24,,Kirill SKACHKOV / Olga VOROBEVA,RUS,460
25,,Khalid ASSAR / Yousra HELMY,EGY,444
26,,Dora MADARASZ / Nandor ECSEKI,HUN,402
27,,CHEN Xingtong / WANG Chuqin,CHN,400
28,,Camila ARGUELLES / Horacio CIFUENTES,ARG,383
29,,Nina MITTELHAM / HO Kwan Kit,GER / HKG,350
30,,Izabela LUPULESKU / Dimitrije LEVAJAC,SRB,334
31,,LIANG Jingkun / LIU Weishan,CHN,280
32,,CHEN Chien-An / CHEN Szu-Yu,TPE,280
33,,LIN Ye / PANG Yew En Koen,SGP,280
34,,LEE Sangsu / CHOI Hyojoo,KOR,210
35,,Brian AFANADOR / Adriana DIAZ,PUR,210
36,,Franziska SCHREINER / Tobias HIPPLER,GER,205
37,,Niagol STOYANOV / Giorgia PICCOLIN,ITA,187
38,,Gaston ALTO / Ana CODINA,ARG,185
39,,Natalia PARTYKA / Jakub DYJAS,POL,184
40,,Paulina VEGA / Juan LAMADRID,CHI,180
41,,Bode ABIODUN / Offiong EDEM,NGR,180
42,,Sami KHEROUF / Lynda LOGHRAIBI,ALG,175
43,,Ahmed SALEH / Hana GODA,EGY,175
44,,Caroline KUMAHARA / Eric JOUTI,BRA,175
45,,Sharath Kamal ACHANTA / Archana Girish KAMATH,IND,175
46,,Kanak JHA / WANG Manyu,USA / CHN,175
47,,QIAN Tianyi / XU Yingbin,CHN,158
48,,Robert GARDOS / Karoline MISCHEK,AUT,155
49,,CHUANG Chih-Yuan / CHEN Szu-Yu,TPE,150
50,↑3,Daniel GONZALEZ / Melanie DIAZ,PUR,149
51,↓2,Nandor ECSEKI / Leila IMRE,HUN,140
52,↓2,CHENG I-Ching / LI Hsin-Yu,TPE,140
53,↓2,Tristan FLORE / Prithika PAVADE,FRA,125
54,↓2,Alexander CHEN / Karoline MISCHEK,AUT,125
55,↓1,CHEW Zhe Yu Clarence / ZENG Jian,SGP,107
56,↓1,Liam PITCHFORD / Tin-Tin HO,ENG,105
57,↓1,YUAN Licen / LIU Weishan,CHN,105
58,↓1,Gaia MONFARDINI / John OYEBODE,ITA,105
59,,Dan LIU / Rachel SUNG,USA,105
60,↓2,Daniel HABESOHN / Sofia POLCANOVA,AUT,105
61,↓2,Arantxa COSSIO ACEVES / Juan Jesus GOMEZ,MEX,100
62,↓2,Valeria KOTCYUR / Maksim KABURKIN,RUS,100
63,↓2,Suthasini SAWETTABUT / Padasak TANVIRIYAVECHAKUL,THA,97
64,↓2,Sibel ALTINKAYA / Ibrahim GUNDUZ,TUR,96
65,↓2,Mo ZHANG / Eugene WANG,CAN,96
66,↓2,Benedek OLAH / Britt EERLAND,FIN / NED,95
67,↓2,Abdullah YIGENLER / Ozge YILMAZ,TUR,94
68,↓2,Tiago APOLONIA / Jieni SHAO,POR,93
69,↓2,CHO Daeseong / SHIN Yubin,KOR,90
70,↓2,Natalia BAJOR / Marek BADOWSKI,POL,90
71,↓2,Christina KALLBERG / Truls MOREGARD,SWE,90
72,↓2,CHEN Szu-Yu / FENG Yi-Hsin,TPE,90
73,↓2,AN Jaehyun / SHIN Yubin,KOR,90
74,↓2,Abir HAJ SALAH / Aboubaker BOURASS,TUN,90
75,↓2,Olufunke OSHONAIKE / Olajide OMOTAYO,NGR,90
76,↓2,Cecilia AKPAN / Taiwo MATI,NGR,90
77,↓2,Allan GUTIERREZ / Lucia CORDERO,GUA,90
78,↓2,Yukiya UDA / Saki SHIBATA,JPN,90
79,↓2,Florent LAMBIET / Nathalie MARCHETTI,BEL,90
80,↓2,Dario ARCE / Clio BARCENAS,MEX,90
81,↓2,Yang WANG / Tatiana KUKULKOVA,SVK,90
82,↓2,Polina MIKHAILOVA / Alexander SHIBAEV,RUS,89
83,↓2,Tatiana KUKULKOVA / Adam KLAJBER,SVK,85
84,↓2,Aleksandar KARAKASEVIC / Izabela LUPULESKU,SRB,85
85,↓2,Tatiana KUKULKOVA / Jakub ZELINKA,SVK,80
86,↓2,Miyuu KIHARA / Hiroto SHINOZUKA,JPN,75
87,↓2,Robert GARDOS / Sofia POLCANOVA,AUT,74
88,↓2,Kristian KARLSSON / Christina KALLBERG,SWE,70
89,↓2,Dillon CHAMBERS / YANG Qian,AUS / CHN,70
90,↓2,Youssef ABID / Maram ZOGHLAMI,TUN,70
91,↓2,Alexandre CASSIN / Prithika PAVADE,FRA,70
92,↓2,Sugdiyona MADALIEVA / Mukhammad UKTAMBOEV,UZB,70
93,↓2,Solomiya BRATEYKO / Anton LIMONOV,UKR,70
94,↓2,GOI Rui Xuan / CHUA Josh Shao Han,SGP,70
95,↓2,Katsiaryna BARAVOK / Aleksandr KHANIN,BLR,70
96,↓2,Xavier DIXON / Yangzi LIU,AUS,70
97,↓2,LIANG Jingkun / KUAI Man,CHN,70
98,↓2,Leila IMRE / Csaba ANDRAS,HUN,70
99,↓2,Szandra PERGEL / Adam SZUDI,HUN,68
100,↓2,Zauresh AKASHEVA / Alan KURMANGALIYEV,KAZ,65
101,↓2,XUE Fei / ZHANG Rui,CHN,63
102,↓2,Anton KALLBERG / Christina KALLBERG,SWE,57
103,↓2,KUAI Man / XIANG Peng,CHN,55
104,↓2,Adina DIACONU / Cristian PLETEA,ROU,55
105,↓2,Jordy PICCOLIN / Valentina RONCALLO,ITA,55
106,,Lily ZHANG / Lei KOU,USA / UKR,55
107,,Giorgia PICCOLIN / Carlo ROSSI,ITA,55
108,↓4,Gustavo GOMEZ / Daniela ORTEGA,CHI,55
109,↓4,Kirill GERASSIMENKO / Anastassiya LAVROVA,KAZ,55
110,↓4,Rozalina KHADJIEVA / Abdulaziz ANORBOEV,UZB,55
111,↓4,Sanil SHETTY / Reeth TENNISON,IND,55
112,↓4,Sarah DE NUTTE / Eric GLOD,LUX,53
113,↑48,Jordy PICCOLIN / Jamila LAURENTI,ITA,49
114,↓5,Lily ZHANG / Kai ZHANG,USA,45
115,↓5,Rachel MORET / Lionel WEBER,SUI,45
116,↓5,LIU Hsing-Yin / HUANG Yan-Cheng,TPE,45
117,↓5,Napat THANMATHIKOM / Wirakarn TAYAPITAK,THA,45
118,↓5,Markhabo MAGDIEVA / Nikita PANOV ,UZB,45
119,↓5,Moosa AHMED / Aishath NAZIM,MDV,45
120,↓5,Yuto KIZUKURI / Minami ANDO,JPN,45
121,↓5,Fadwa GARCI / Youssef BEN ATTIA,TUN,45
122,↓5,Abdoulaye MOHAMED / BOBGA BOGHUMA KAHLIH,CMR,45
123,↓5,Larbi BOURIAH / Katia KESSACI,ALG,45
124,↓5,Danisha PATEL / Chetan NATHOO,RSA,45
125,↓5,Josiah WANDERA / Lydia SETEY,KEN,45
126,↓5,Zodwa MAPHANGA / Cade PETERS,RSA,45
127,↓5,Iheb KALLEL / Maram ZOGHLAMI,TUN,45
128,↓5,Ronald NYAIKA / Florence SEERA,UGA,45
