Rank Only,Rank Change,Name,Assoc,Points
1,,WANG Manyu / SUN Yingsha,CHN,4000
2,,Mima ITO / Hina HAYATA,JPN,2800
3,,Xia Lian NI / Sarah DE NUTTE,LUX,1490
4,,Manika BATRA / Archana Girish KAMATH,IND,1399
5,,Sabine WINTER / Nina MITTELHAM,GER,1260
6,,JEON Jihee / SHIN Yubin,KOR,1190
7,,Kasumi ISHIKAWA / Miu HIRANO,JPN,1170
8,,YANG Haeun / JEON Jihee,KOR,1050
9,,Miyu NAGASAKI / Miyuu KIHARA,JPN,1030
10,,Melanie DIAZ / Adriana DIAZ,PUR,899
11,,LEE Ho Ching / DOO Hoi Kem,HKG,805
12,,Sofia POLCANOVA / Bernadette SZOCS,AUT / ROU,790
13,,Petrissa SOLJA / Xiaona SHAN,GER,780
14,,Minami ANDO / Miyu NAGASAKI,JPN,775
15,,LEE Zion / CHOI Hyojoo,KOR,759
16,,Barbora BALAZOVA / Hana MATELOVA,SVK / CZE,730
17,,Linda BERGSTROM / Christina KALLBERG,SWE,715
18,,CHEN Meng / QIAN Tianyi,CHN,700
19,,Yana NOSKOVA / Olga VOROBEVA,RUS,634
20,,WANG Yidi / LIU Weishan,CHN,570
21,,LIN Ye / ZENG Jian,SGP,538
22,↑3,CHENG I-Ching / LI Yu-Jhun,TPE,525
23,↓1,Farah ABDEL-AZIZ / Yousra HELMY,EGY,510
24,↓1,HUANG Yi-Hua / CHEN Szu-Yu,TPE,505
25,↓1,WONG Xin Ru / GOI Rui Xuan,SGP,448
26,,ZHANG Rui / KUAI Man,CHN,415
27,,Szandra PERGEL / Dora MADARASZ,HUN,405
28,,CHEN Szu-Yu / CHENG Hsien-Tzu,TPE,385
29,,Sutirtha MUKHERJEE / Ayhika MUKHERJEE,IND,380
30,,Paulina VEGA / Daniela ORTEGA,CHI,360
31,,LIU Hsing-Yin / CHENG Hsien-Tzu,TPE,360
32,,Elizabeta SAMARA / Andreea DRAGOMAN,ROU,359
33,,Georgina POTA / Dora MADARASZ,HUN,355
34,,Offiong EDEM / Cecilia AKPAN,NGR,350
35,,Hina HAYATA / Miyuu KIHARA,JPN,350
36,,Tatiana KUKULKOVA / Ema LABOSOVA,SVK,346
37,,Rachel MORET / Daria TRIGOLOS,SUI / BLR,295
38,,Debora VIVARELLI / Giorgia PICCOLIN,ITA,265
